customerId,currentBalance,averageBalance,minimumBalance,maximumBalance,balanceVolatility,averageTransactionValue,monthlyTransactionValue,transactionsPerMonth,daysSinceLastTransaction,monthlyActiveDays,transactionGrowthRate,engagementScore,engagementCategory,scoreBreakdown,numberOfProducts,hasCreditCard,hasLoan,hasInvestment,hasInsurance,complaintCount,complaintsLast90Days,unresolvedComplaints,averageResolutionTime,digitalUsagePercentage,mobileLoginFrequency,webLoginFrequency,digitalSessionDuration,age,income,creditScore,tenureMonths,churn
CUST-1011,15037.27,22199.9,200.0,90029.25,1.06,2497.65,55364.68,22.17,1,16,0.109,76.3,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 15.6, 'productUsage': 16.0, 'recency': 19.7, 'servicePenalty': 0.0}",4,False,True,True,True,0,0,0,0.0,62.4,2.3,2.8,345.2,21,1701543,616,17,0
CUST-1012,200.0,6866.78,200.0,22320.96,1.23,3423.37,7417.31,2.17,82,0,-0.333,22.3,Dormant,"{'transactionFrequency': 2.7, 'digitalUsage': 11.6, 'productUsage': 8.0, 'recency': 0.0, 'servicePenalty': 0.0}",2,False,True,False,False,0,0,0,0.0,46.2,1.2,1.0,522.6,52,387934,523,35,1
CUST-1013,7275.18,12349.61,200.0,61293.85,1.366,2651.72,57453.97,21.67,3,20,-0.114,79.6,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 19.6, 'productUsage': 16.0, 'recency': 19.0, 'servicePenalty': 0.0}",4,False,True,True,True,0,0,0,0.0,78.5,7.2,3.5,477.2,21,566978,671,7,0
CUST-1014,60143.41,160492.86,60143.41,249292.26,0.423,2337.92,52603.23,22.5,1,14,-0.197,78.1,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 17.4, 'productUsage': 16.0, 'recency': 19.7, 'servicePenalty': 0.0}",4,False,True,True,True,0,0,0,0.0,69.6,4.0,2.0,549.8,46,613992,763,57,0
CUST-1015,2842.07,19490.79,200.0,95049.09,1.426,2392.02,76146.07,31.83,1,24,0.032,77.1,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 20.4, 'productUsage': 12.0, 'recency': 19.7, 'servicePenalty': 0.0}",3,False,True,True,False,0,0,0,0.0,81.7,11.2,5.3,419.0,34,430620,685,66,0
CUST-1016,781.59,31503.51,200.0,104770.98,0.87,2521.34,51687.37,20.5,1,9,0.5,68.1,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 17.5, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 2.0}",2,True,False,False,False,1,1,0,85.0,69.9,5.5,1.5,465.5,26,250000,738,14,0
CUST-1017,200.0,8561.13,200.0,57941.87,1.546,2420.52,62126.6,25.67,2,25,0.026,88.0,Highly Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 23.7, 'productUsage': 20.0, 'recency': 19.3, 'servicePenalty': 0.0}",5,True,True,True,True,0,0,0,0.0,94.8,11.0,5.0,538.1,21,2062363,620,14,0
CUST-1018,11627.15,23447.44,200.0,52274.1,0.551,2280.81,39914.17,17.5,2,14,0.184,65.2,Engaged,"{'transactionFrequency': 21.9, 'digitalUsage': 16.0, 'productUsage': 12.0, 'recency': 19.3, 'servicePenalty': 4.0}",3,True,False,True,False,3,2,0,54.0,63.8,4.8,0.5,571.7,60,1051407,754,11,0
CUST-1019,200.0,58515.26,200.0,142718.23,0.874,2585.64,55591.29,21.5,1,16,0.079,72.0,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 19.4, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,False,True,False,False,0,0,0,0.0,77.5,8.5,3.0,539.6,60,275862,656,25,0
CUST-1020,372998.28,433890.04,367698.7,516016.11,0.084,2145.48,61861.31,28.83,1,21,-0.098,80.3,Highly Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 19.6, 'productUsage': 16.0, 'recency': 19.7, 'servicePenalty': 0.0}",4,True,True,True,False,0,0,0,0.0,78.6,6.7,2.3,484.4,35,407218,766,86,0
CUST-1021,200.0,79106.77,200.0,161402.39,0.614,2692.02,44867.08,16.67,11,12,0.04,68.9,Engaged,"{'transactionFrequency': 20.8, 'digitalUsage': 19.8, 'productUsage': 12.0, 'recency': 16.3, 'servicePenalty': 0.0}",3,False,True,True,False,0,0,0,0.0,79.0,5.3,3.5,528.3,39,486565,604,3,0
CUST-1022,252403.26,271117.73,252403.26,296167.18,0.041,1972.54,24985.46,12.67,4,6,-0.05,69.5,Engaged,"{'transactionFrequency': 15.8, 'digitalUsage': 23.0, 'productUsage': 12.0, 'recency': 18.7, 'servicePenalty': 0.0}",3,False,True,True,False,0,0,0,0.0,92.1,6.8,7.0,457.5,39,326971,740,12,0
CUST-1023,451.94,1928.87,200.0,24142.99,2.529,2054.96,25686.97,12.5,2,10,-0.167,56.6,At Risk,"{'transactionFrequency': 15.6, 'digitalUsage': 19.7, 'productUsage': 4.0, 'recency': 19.3, 'servicePenalty': 2.0}",1,False,False,False,False,1,1,0,74.0,78.7,4.3,1.2,499.8,51,351014,698,86,0
CUST-1024,3635.18,15301.87,200.0,52872.89,1.103,2713.26,42507.72,15.67,1,17,-0.08,67.5,Engaged,"{'transactionFrequency': 19.6, 'digitalUsage': 16.2, 'productUsage': 12.0, 'recency': 19.7, 'servicePenalty': 0.0}",3,True,True,False,False,1,0,0,73.0,64.9,5.0,2.8,472.2,21,505288,586,49,0
CUST-1025,57083.2,94489.85,57083.2,120469.11,0.212,2285.33,16759.09,7.33,1,8,0.875,65.0,Engaged,"{'transactionFrequency': 9.2, 'digitalUsage': 22.1, 'productUsage': 16.0, 'recency': 19.7, 'servicePenalty': 2.0}",4,False,True,True,True,1,1,0,34.0,88.6,9.8,4.5,511.8,21,1040158,658,29,0
CUST-1026,1169.96,51411.72,200.0,121263.22,0.803,2489.99,37764.82,15.17,1,10,-0.021,66.1,Engaged,"{'transactionFrequency': 19.0, 'digitalUsage': 19.5, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,False,False,True,False,1,0,0,102.0,78.0,3.8,1.3,475.6,36,840365,623,48,0
CUST-1027,153242.02,188632.26,150976.11,227471.27,0.135,2303.18,24183.39,10.5,6,5,-0.03,56.2,At Risk,"{'transactionFrequency': 13.1, 'digitalUsage': 17.1, 'productUsage': 8.0, 'recency': 18.0, 'servicePenalty': 0.0}",2,False,False,False,True,0,0,0,0.0,68.3,4.2,4.0,518.7,55,1138594,621,19,0
CUST-1028,200.0,3527.86,200.0,24157.64,1.634,2268.66,26467.71,11.67,1,2,-0.468,61.2,Engaged,"{'transactionFrequency': 14.6, 'digitalUsage': 18.9, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,False,False,True,False,0,0,0,0.0,75.7,3.7,3.7,499.2,51,913368,637,3,1
CUST-1029,828119.65,844229.66,826782.25,876809.33,0.018,1962.49,17989.51,9.17,2,4,-0.161,65.7,Engaged,"{'transactionFrequency': 11.5, 'digitalUsage': 20.9, 'productUsage': 16.0, 'recency': 19.3, 'servicePenalty': 2.0}",4,True,False,True,True,3,1,0,78.3,83.6,10.3,4.5,571.8,25,682394,635,42,0
CUST-1030,2785.69,2277.52,200.0,8892.25,1.194,2269.92,16646.05,7.33,16,1,-0.722,51.1,At Risk,"{'transactionFrequency': 9.2, 'digitalUsage': 23.3, 'productUsage': 4.0, 'recency': 14.7, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,93.2,5.2,5.5,418.4,44,937976,541,123,1
CUST-1031,200.0,11672.31,200.0,49150.3,1.352,3187.2,33996.8,10.67,3,4,-0.35,59.5,At Risk,"{'transactionFrequency': 13.3, 'digitalUsage': 19.1, 'productUsage': 8.0, 'recency': 19.0, 'servicePenalty': 0.0}",2,True,False,False,False,0,0,0,0.0,76.6,8.5,1.3,569.4,25,963821,722,14,0
CUST-1032,334705.72,386801.86,334550.66,449779.55,0.093,2557.89,32399.98,12.67,5,10,-0.05,65.2,Engaged,"{'transactionFrequency': 15.8, 'digitalUsage': 21.1, 'productUsage': 12.0, 'recency': 18.3, 'servicePenalty': 2.0}",3,False,True,True,False,1,1,0,33.0,84.2,10.2,3.5,473.4,56,847186,829,3,0
CUST-1033,14143.45,36856.26,14143.45,84678.83,0.685,2430.27,20252.27,8.33,73,0,-0.632,36.4,Dormant,"{'transactionFrequency': 10.4, 'digitalUsage': 18.0, 'productUsage': 8.0, 'recency': 0.0, 'servicePenalty': 0.0}",2,False,True,False,False,0,0,0,0.0,72.0,3.8,0.2,687.0,49,422034,566,29,1
CUST-1034,200.0,19282.12,200.0,43533.45,0.769,2380.99,36905.28,15.5,1,15,0.021,65.3,Engaged,"{'transactionFrequency': 19.4, 'digitalUsage': 18.3, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,True,False,False,False,0,0,0,0.0,73.1,5.5,2.3,493.7,47,346780,659,74,0
CUST-1035,200.0,933.38,200.0,7032.0,1.794,2416.0,20536.02,8.5,20,1,-0.707,48.6,At Risk,"{'transactionFrequency': 10.6, 'digitalUsage': 16.7, 'productUsage': 8.0, 'recency': 13.3, 'servicePenalty': 0.0}",2,False,False,True,False,1,0,0,97.0,66.7,2.8,1.7,497.8,38,740566,586,22,1
CUST-1036,200.0,2222.83,200.0,9000.35,0.976,2292.19,20629.67,9.0,15,2,-0.634,44.1,At Risk,"{'transactionFrequency': 11.2, 'digitalUsage': 19.9, 'productUsage': 8.0, 'recency': 15.0, 'servicePenalty': 10.0}",2,True,False,False,False,3,1,3,0.0,79.6,6.3,2.3,428.0,50,587819,687,22,1
CUST-1037,2466.88,22746.75,200.0,89154.11,1.156,2349.06,63033.08,26.83,1,20,0.063,65.9,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 19.2, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 6.0}",2,True,False,False,False,4,3,0,39.8,77.0,7.8,3.5,527.3,56,375107,850,20,0
CUST-1038,148421.44,169883.84,145187.45,188897.29,0.09,2031.9,20996.28,10.33,2,9,-0.171,66.8,Engaged,"{'transactionFrequency': 12.9, 'digitalUsage': 20.6, 'productUsage': 16.0, 'recency': 19.3, 'servicePenalty': 2.0}",4,True,True,True,False,1,1,0,109.0,82.3,8.3,1.7,490.9,53,1166211,621,32,0
CUST-1039,41132.25,58475.28,41132.25,95955.41,0.19,2228.28,23025.56,10.33,3,7,0.0,68.1,Engaged,"{'transactionFrequency': 12.9, 'digitalUsage': 20.1, 'productUsage': 16.0, 'recency': 19.0, 'servicePenalty': 0.0}",4,True,False,True,True,1,0,0,111.0,80.6,10.8,3.0,457.3,28,1304118,797,113,0
CUST-1040,200.0,7883.7,200.0,34961.43,1.24,2365.39,32326.98,13.67,1,11,0.154,70.1,Engaged,"{'transactionFrequency': 17.1, 'digitalUsage': 17.4, 'productUsage': 16.0, 'recency': 19.7, 'servicePenalty': 0.0}",4,False,True,True,True,0,0,0,0.0,69.5,4.5,1.7,499.0,42,288641,832,50,0
CUST-1041,21460.11,93064.82,21460.11,164955.8,0.434,2150.35,54475.61,25.33,4,17,-0.075,75.6,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 19.9, 'productUsage': 12.0, 'recency': 18.7, 'servicePenalty': 0.0}",3,True,False,False,True,0,0,0,0.0,79.6,6.7,3.3,509.3,21,636773,813,62,0
CUST-1042,628054.08,647581.5,619272.47,666833.17,0.019,2529.26,37095.78,14.67,6,10,0.143,67.9,Engaged,"{'transactionFrequency': 18.3, 'digitalUsage': 19.6, 'productUsage': 12.0, 'recency': 18.0, 'servicePenalty': 0.0}",3,False,True,True,False,0,0,0,0.0,78.4,6.8,3.8,575.8,38,558143,780,32,0
CUST-1043,29714.59,47820.35,29714.59,93681.68,0.334,2392.55,25121.8,10.5,8,2,-0.452,54.3,At Risk,"{'transactionFrequency': 13.1, 'digitalUsage': 15.9, 'productUsage': 8.0, 'recency': 17.3, 'servicePenalty': 0.0}",2,False,True,False,False,0,0,0,0.0,63.5,2.0,0.7,661.8,54,542892,553,37,1
CUST-1044,200.0,3091.7,200.0,16369.7,1.35,2615.3,15255.92,5.83,27,1,-0.577,39.4,Dormant,"{'transactionFrequency': 7.3, 'digitalUsage': 17.1, 'productUsage': 4.0, 'recency': 11.0, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,68.6,5.3,1.7,463.9,33,487192,682,8,1
CUST-1045,200.0,8581.67,200.0,33953.83,1.144,2325.33,17827.54,7.67,10,1,-0.588,50.4,At Risk,"{'transactionFrequency': 9.6, 'digitalUsage': 20.1, 'productUsage': 4.0, 'recency': 16.7, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,80.4,9.2,1.2,554.8,33,250000,703,4,1
CUST-1046,200.0,13537.41,200.0,39588.88,1.031,2437.8,38192.16,15.67,5,12,-0.041,69.1,Engaged,"{'transactionFrequency': 19.6, 'digitalUsage': 23.1, 'productUsage': 8.0, 'recency': 18.3, 'servicePenalty': 0.0}",2,False,False,False,True,1,0,0,32.0,92.6,9.7,5.0,457.0,24,262974,604,5,0
CUST-1047,200.0,1898.3,200.0,11712.6,1.485,2249.55,21370.75,9.5,1,2,-0.314,46.1,At Risk,"{'transactionFrequency': 11.9, 'digitalUsage': 13.6, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 7.0}",2,False,False,False,True,1,1,1,0.0,54.4,0.7,0.5,646.5,52,962103,767,133,1
CUST-1048,385.8,36074.74,200.0,109797.25,1.08,2423.66,47261.32,19.5,2,13,0.088,67.2,Engaged,"{'transactionFrequency': 24.4, 'digitalUsage': 19.4, 'productUsage': 8.0, 'recency': 19.3, 'servicePenalty': 4.0}",2,True,False,False,False,3,2,0,90.7,77.8,6.7,3.2,417.0,58,683116,645,129,0
CUST-1049,2230.3,54780.61,200.0,125930.89,0.735,2502.33,45876.03,18.33,3,14,-0.069,79.8,Engaged,"{'transactionFrequency': 22.9, 'digitalUsage': 23.9, 'productUsage': 16.0, 'recency': 19.0, 'servicePenalty': 2.0}",4,False,True,True,True,3,1,0,77.7,95.5,17.3,5.3,554.3,30,348168,627,50,0
CUST-1050,1159.9,63814.8,200.0,122628.15,0.613,2280.88,46757.99,20.5,1,14,0.119,75.7,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 13.0, 'productUsage': 20.0, 'recency': 19.7, 'servicePenalty': 2.0}",5,True,True,True,True,3,1,0,77.0,52.0,2.0,0.2,492.3,35,549133,684,42,0
CUST-1051,110184.21,139132.6,103061.65,187747.1,0.199,2505.53,35077.39,14.0,17,6,-0.208,67.8,Engaged,"{'transactionFrequency': 17.5, 'digitalUsage': 19.9, 'productUsage': 16.0, 'recency': 14.3, 'servicePenalty': 0.0}",4,True,True,False,True,0,0,0,0.0,79.8,6.3,3.3,487.3,39,603578,781,35,0
CUST-1052,200.0,37634.67,200.0,81531.83,0.785,1995.7,18293.9,9.17,12,2,-0.161,56.8,At Risk,"{'transactionFrequency': 11.5, 'digitalUsage': 21.4, 'productUsage': 8.0, 'recency': 16.0, 'servicePenalty': 0.0}",2,True,False,False,False,0,0,0,0.0,85.5,11.5,3.3,516.6,28,258768,736,3,0
CUST-1053,200.0,1695.76,200.0,14213.29,1.576,2793.01,24671.58,8.83,3,3,-0.281,40.8,At Risk,"{'transactionFrequency': 11.0, 'digitalUsage': 11.8, 'productUsage': 4.0, 'recency': 19.0, 'servicePenalty': 5.0}",1,False,False,False,False,1,0,1,0.0,47.2,2.8,0.7,572.7,53,710308,666,24,1
CUST-1054,4451.84,2595.86,200.0,14226.2,1.194,2366.88,28008.06,11.83,6,1,-0.596,53.8,At Risk,"{'transactionFrequency': 14.8, 'digitalUsage': 13.0, 'productUsage': 8.0, 'recency': 18.0, 'servicePenalty': 0.0}",2,False,True,False,False,0,0,0,0.0,52.1,1.5,0.7,619.3,56,250000,730,9,1
CUST-1055,200.0,20253.87,200.0,69448.54,1.104,2394.21,60254.32,25.17,1,14,-0.134,65.9,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 17.2, 'productUsage': 4.0, 'recency': 19.7, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,68.9,4.3,2.5,496.4,33,694639,772,21,0
CUST-1056,200.0,25032.11,200.0,75299.77,0.968,2226.52,35253.31,15.83,2,11,-0.098,64.3,Engaged,"{'transactionFrequency': 19.8, 'digitalUsage': 13.2, 'productUsage': 12.0, 'recency': 19.3, 'servicePenalty': 0.0}",3,True,True,False,False,0,0,0,0.0,52.6,2.5,0.0,454.8,51,906962,711,60,0
CUST-1057,2680.22,2715.48,200.0,29849.66,2.268,2277.95,20881.23,9.17,1,5,-0.61,63.1,Engaged,"{'transactionFrequency': 11.5, 'digitalUsage': 20.0, 'productUsage': 12.0, 'recency': 19.7, 'servicePenalty': 0.0}",3,False,True,True,False,0,0,0,0.0,80.0,6.3,1.7,487.8,53,345739,608,10,0
CUST-1058,200.0,3150.55,200.0,11935.45,1.225,2696.92,21125.91,7.83,2,5,-0.31,54.4,At Risk,"{'transactionFrequency': 9.8, 'digitalUsage': 21.3, 'productUsage': 4.0, 'recency': 19.3, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,85.1,5.2,2.0,284.4,44,575873,642,48,1
CUST-1059,200.0,34492.43,200.0,114436.63,1.185,2492.83,46117.42,18.5,1,17,-0.148,65.8,Engaged,"{'transactionFrequency': 23.1, 'digitalUsage': 11.0, 'productUsage': 12.0, 'recency': 19.7, 'servicePenalty': 0.0}",3,True,False,True,False,0,0,0,0.0,44.1,0.3,0.7,656.8,21,291050,742,59,0
CUST-1060,6275.65,5477.72,200.0,14622.09,0.629,2315.78,18526.2,8.0,17,1,-0.529,48.5,At Risk,"{'transactionFrequency': 10.0, 'digitalUsage': 16.1, 'productUsage': 8.0, 'recency': 14.3, 'servicePenalty': 0.0}",2,True,False,False,False,0,0,0,0.0,64.6,7.5,0.7,560.2,67,570862,629,11,1
CUST-1061,200.0,4494.5,200.0,23502.65,1.347,2075.7,30097.6,14.5,5,7,-0.382,61.4,Engaged,"{'transactionFrequency': 18.1, 'digitalUsage': 16.9, 'productUsage': 8.0, 'recency': 18.3, 'servicePenalty': 0.0}",2,True,False,False,False,1,0,0,50.0,67.8,5.7,1.5,550.2,45,403147,676,8,0
CUST-1062,200.0,5314.25,200.0,26680.27,1.373,2362.96,41351.82,17.5,5,13,-0.246,73.3,Engaged,"{'transactionFrequency': 21.9, 'digitalUsage': 23.1, 'productUsage': 12.0, 'recency': 18.3, 'servicePenalty': 2.0}",3,False,True,False,True,1,1,0,8.0,92.4,6.2,4.8,459.9,30,531050,819,81,0
CUST-1063,200.0,7414.68,200.0,53677.21,2.081,2313.41,58220.79,25.17,1,13,-0.134,71.9,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 21.2, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 2.0}",2,False,False,False,True,1,1,0,65.0,84.8,8.0,4.2,561.0,34,891821,630,20,0
CUST-1064,156155.22,221046.62,155615.47,294724.95,0.176,2185.04,46250.0,21.17,1,14,0.081,73.1,Engaged,"{'transactionFrequency': 25.0, 'digitalUsage': 20.5, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,False,True,False,False,0,0,0,0.0,81.9,13.3,6.7,450.3,39,1166732,787,112,0
CUST-1065,200.0,3579.59,200.0,34014.48,1.729,2479.43,37191.5,15.0,1,12,0.19,67.0,Engaged,"{'transactionFrequency': 18.8, 'digitalUsage': 20.6, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,False,False,True,False,0,0,0,0.0,82.2,7.7,2.3,447.1,21,478144,702,3,0
CUST-1066,155395.5,191863.65,155395.5,213429.89,0.065,2097.98,21679.1,10.33,2,10,0.0,64.8,Engaged,"{'transactionFrequency': 12.9, 'digitalUsage': 20.6, 'productUsage': 12.0, 'recency': 19.3, 'servicePenalty': 0.0}",3,False,False,True,True,0,0,0,0.0,82.3,6.3,3.7,502.6,46,440352,697,21,0
CUST-1067,200.0,21106.31,200.0,60324.22,0.955,2436.48,22334.39,9.17,9,2,-0.61,45.6,At Risk,"{'transactionFrequency': 11.5, 'digitalUsage': 13.2, 'productUsage': 4.0, 'recency': 17.0, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,52.7,0.5,0.0,163.0,43,579363,686,21,1
CUST-1068,200.0,1573.66,200.0,6017.69,1.418,1343.15,5148.74,3.83,64,0,-0.214,23.2,Dormant,"{'transactionFrequency': 4.8, 'digitalUsage': 17.4, 'productUsage': 8.0, 'recency': 0.0, 'servicePenalty': 7.0}",2,False,True,False,False,2,1,1,104.0,69.6,4.2,0.7,460.2,47,1708213,581,8,1
CUST-1069,197675.2,228262.82,194295.16,269532.8,0.117,2263.54,33953.15,15.0,2,13,-0.296,75.5,Engaged,"{'transactionFrequency': 18.8, 'digitalUsage': 21.4, 'productUsage': 16.0, 'recency': 19.3, 'servicePenalty': 0.0}",4,True,False,True,True,1,0,0,99.0,85.6,8.8,2.3,542.1,57,575296,633,20,0
CUST-1070,931.4,1192.84,200.0,8374.95,1.528,2508.47,24666.6,9.83,20,1,-0.674,46.1,At Risk,"{'transactionFrequency': 12.3, 'digitalUsage': 16.5, 'productUsage': 4.0, 'recency': 13.3, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,66.1,3.0,1.0,437.2,34,939619,801,4,1
CUST-1071,237.83,2347.16,200.0,12510.28,1.494,2315.85,43229.2,18.67,4,15,0.375,78.1,Engaged,"{'transactionFrequency': 23.3, 'digitalUsage': 16.1, 'productUsage': 20.0, 'recency': 18.7, 'servicePenalty': 0.0}",5,True,True,True,True,0,0,0,0.0,64.3,2.2,0.7,437.7,21,565275,774,3,0
CUST-1072,1942.15,27943.19,200.0,72393.52,0.892,1895.74,27172.25,14.33,1,12,0.047,64.7,Engaged,"{'transactionFrequency': 17.9, 'digitalUsage': 17.1, 'productUsage': 12.0, 'recency': 19.7, 'servicePenalty': 2.0}",3,True,False,False,True,1,1,0,30.0,68.6,3.8,4.3,487.1,39,534576,761,15,0
CUST-1073,139269.81,191790.09,139269.81,247764.41,0.155,2213.45,34677.37,15.67,1,11,-0.118,69.6,Engaged,"{'transactionFrequency': 19.6, 'digitalUsage': 22.4, 'productUsage': 8.0, 'recency': 19.7, 'servicePenalty': 0.0}",2,True,False,False,False,0,0,0,0.0,89.4,7.5,2.7,490.4,53,529146,703,10,0
CUST-1074,2565.64,5684.38,200.0,27682.25,1.371,2428.68,46549.79,19.17,3,15,0.438,74.5,Engaged,"{'transactionFrequency': 24.0, 'digitalUsage': 19.6, 'productUsage': 16.0, 'recency': 19.0, 'servicePenalty': 4.0}",4,True,False,True,True,2,2,0,47.0,78.3,7.5,3.0,469.2,21,2080161,651,9,0
CUST-1075,2898.57,4235.05,200.0,13247.55,1.057,1791.27,17614.2,9.83,2,8,0.103,57.4,At Risk,"{'transactionFrequency': 12.3, 'digitalUsage': 17.8, 'productUsage': 8.0, 'recency': 19.3, 'servicePenalty': 0.0}",2,False,False,False,True,0,0,0,0.0,71.2,5.5,4.3,536.8,44,465607,624,27,0
CUST-1076,7547.81,12964.92,200.0,51594.97,1.026,2334.31,45519.02,19.5,2,12,-0.049,63.1,Engaged,"{'transactionFrequency': 24.4, 'digitalUsage': 15.4, 'productUsage': 4.0, 'recency': 19.3, 'servicePenalty': 0.0}",1,False,False,False,False,0,0,0,0.0,61.5,1.8,0.7,344.5,34,303784,685,32,0
